Country,year,sex,age,suicides_no,population,suicides_100kpop,country_year,HDI_for_year, gdp_for_year,gdp_per_capita,generation
Argentina,2013,male,35-54 years,604,4950850,12.2,Argentina2013,0.833,"552,025,140,252",14206,Generation X
Argentina,2013,female,15-24 years,167,3384642,4.93,Argentina2013,0.833,"552,025,140,252",14206,Millenials
Argentina,2013,female,25-34 years,102,3226464,3.16,Argentina2013,0.833,"552,025,140,252",14206,Millenials
Argentina,2013,female,35-54 years,157,5099167,3.08,Argentina2013,0.833,"552,025,140,252",14206,Generation X
Argentina,2013,female,55-74 years,102,3390673,3.01,Argentina2013,0.833,"552,025,140,252",14206,Boomers
Argentina,2013,female,75+ years,29,1303352,2.23,Argentina2013,0.833,"552,025,140,252",14206,Silent
Argentina,2013,female,5-14 years,32,3515742,0.91,Argentina2013,0.833,"552,025,140,252",14206,Generation Z
Argentina,2013,male,5-14 years,33,3637026,0.91,Argentina2013,0.833,"552,025,140,252",14206,Generation Z
Argentina,2014,male,75+ years,192,706897,27.16,Argentina2014,0.836,"526,319,673,732",13400,Silent
Argentina,2014,male,15-24 years,738,3492454,21.13,Argentina2014,0.836,"526,319,673,732",13400,Millenials
Argentina,2014,male,25-34 years,531,3276955,16.2,Argentina2014,0.836,"526,319,673,732",13400,Millenials
Argentina,2014,male,55-74 years,405,2951616,13.72,Argentina2014,0.836,"526,319,673,732",13400,Boomers
Argentina,2014,male,35-54 years,644,5060862,12.73,Argentina2014,0.836,"526,319,673,732",13400,Generation X
Argentina,2014,female,15-24 years,204,3388324,6.02,Argentina2014,0.836,"526,319,673,732",13400,Millenials
Argentina,2014,female,35-54 years,196,5203634,3.77,Argentina2014,0.836,"526,319,673,732",13400,Generation X
Argentina,2014,female,25-34 years,118,3227239,3.66,Argentina2014,0.836,"526,319,673,732",13400,Millenials
Argentina,2014,female,55-74 years,109,3454994,3.15,Argentina2014,0.836,"526,319,673,732",13400,Boomers
Argentina,2014,female,75+ years,25,1323654,1.89,Argentina2014,0.836,"526,319,673,732",13400,Silent
Argentina,2014,female,5-14 years,35,3533961,0.99,Argentina2014,0.836,"526,319,673,732",13400,Generation Z
Argentina,2014,male,5-14 years,34,3655965,0.93,Argentina2014,0.836,"526,319,673,732",13400,Generation Z
Argentina,2015,male,75+ years,245,712691,34.38,Argentina2015,,"594,749,285,413",14981,Silent
Argentina,2015,male,15-24 years,656,3500580,18.74,Argentina2015,,"594,749,285,413",14981,Millenials
Argentina,2015,male,55-74 years,431,3011963,14.31,Argentina2015,,"594,749,285,413",14981,Boomers
Argentina,2015,male,25-34 years,465,3289927,14.13,Argentina2015,,"594,749,285,413",14981,Millenials
Argentina,2015,male,35-54 years,633,5166179,12.25,Argentina2015,,"594,749,285,413",14981,Generation X
Argentina,2015,female,15-24 years,153,3394201,4.51,Argentina2015,,"594,749,285,413",14981,Millenials
Argentina,2015,female,55-74 years,125,3520779,3.55,Argentina2015,,"594,749,285,413",14981,Boomers
Argentina,2015,female,25-34 years,114,3235582,3.52,Argentina2015,,"594,749,285,413",14981,Millenials
Argentina,2015,female,35-54 years,166,5301368,3.13,Argentina2015,,"594,749,285,413",14981,Generation X
Argentina,2015,female,75+ years,27,1344980,2.01,Argentina2015,,"594,749,285,413",14981,Silent
Argentina,2015,male,5-14 years,39,3672155,1.06,Argentina2015,,"594,749,285,413",14981,Generation Z
Argentina,2015,female,5-14 years,19,3549219,0.54,Argentina2015,,"594,749,285,413",14981,Generation Z
Armenia,1990,male,35-54 years,25,332700,7.51,Armenia1990,0.632,"2,256,838,858",756,Silent
Armenia,1990,male,75+ years,2,26900,7.43,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,male,55-74 years,11,183800,5.98,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,male,25-34 years,16,307100,5.21,Armenia1990,0.632,"2,256,838,858",756,Boomers
Armenia,1990,female,35-54 years,15,358000,4.19,Armenia1990,0.632,"2,256,838,858",756,Silent
Armenia,1990,male,15-24 years,10,272500,3.67,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,female,55-74 years,6,224100,2.68,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,75+ years,1,48900,2.04,Armenia1990,0.632,"2,256,838,858",756,G.I. Generation
Armenia,1990,female,25-34 years,4,320700,1.25,Armenia1990,0.632,"2,256,838,858",756,Boomers
Armenia,1990,female,15-24 years,3,258500,1.16,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,female,5-14 years,0,316900,0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1990,male,5-14 years,0,333600,0,Armenia1990,0.632,"2,256,838,858",756,Generation X
Armenia,1991,male,75+ years,5,28800,17.36,Armenia1991,,"2,068,526,522",640,G.I. Generation
Armenia,1991,male,25-34 years,20,313800,6.37,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,55-74 years,11,247900,4.44,Armenia1991,,"2,068,526,522",640,Silent
Armenia,1991,male,55-74 years,9,203100,4.43,Armenia1991,,"2,068,526,522",640,Silent
Armenia,1991,male,35-54 years,14,348500,4.02,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,75+ years,2,52900,3.78,Armenia1991,,"2,068,526,522",640,G.I. Generation
Armenia,1991,female,35-54 years,9,396300,2.27,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,male,15-24 years,6,295300,2.03,Armenia1991,,"2,068,526,522",640,Generation X
Armenia,1991,female,25-34 years,4,342100,1.17,Armenia1991,,"2,068,526,522",640,Boomers
Armenia,1991,female,15-24 years,0,286400,0,Armenia1991,,"2,068,526,522",640,Generation X
Armenia,1991,female,5-14 years,0,349500,0,Armenia1991,,"2,068,526,522",640,Millenials
Armenia,1991,male,5-14 years,0,366200,0,Armenia1991,,"2,068,526,522",640,Millenials
Armenia,1992,male,75+ years,3,28200,10.64,Armenia1992,,"1,272,577,456",385,G.I. Generation
Armenia,1992,male,55-74 years,15,215100,6.97,Armenia1992,,"1,272,577,456",385,Silent
Armenia,1992,male,35-54 years,22,360400,6.1,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,male,25-34 years,15,312600,4.8,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,55-74 years,10,263400,3.8,Armenia1992,,"1,272,577,456",385,Silent
Armenia,1992,female,75+ years,2,53400,3.75,Armenia1992,,"1,272,577,456",385,G.I. Generation
Armenia,1992,male,15-24 years,9,300300,3,Armenia1992,,"1,272,577,456",385,Generation X
Armenia,1992,female,35-54 years,6,410800,1.46,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,15-24 years,1,290100,0.34,Armenia1992,,"1,272,577,456",385,Generation X
Armenia,1992,female,25-34 years,0,340900,0,Armenia1992,,"1,272,577,456",385,Boomers
Armenia,1992,female,5-14 years,0,358200,0,Armenia1992,,"1,272,577,456",385,Millenials
Armenia,1992,male,5-14 years,0,375300,0,Armenia1992,,"1,272,577,456",385,Millenials
Armenia,1993,female,75+ years,6,53100,11.3,Armenia1993,,"1,201,313,201",357,G.I. Generation
Armenia,1993,male,55-74 years,20,226400,8.83,Armenia1993,,"1,201,313,201",357,Silent
Armenia,1993,male,75+ years,2,28400,7.04,Armenia1993,,"1,201,313,201",357,G.I. Generation
Armenia,1993,male,35-54 years,25,371900,6.72,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,male,25-34 years,17,305600,5.56,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,55-74 years,14,276100,5.07,Armenia1993,,"1,201,313,201",357,Silent
Armenia,1993,male,15-24 years,7,304800,2.3,Armenia1993,,"1,201,313,201",357,Generation X
Armenia,1993,female,25-34 years,6,335900,1.79,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,35-54 years,6,424000,1.42,Armenia1993,,"1,201,313,201",357,Boomers
Armenia,1993,female,15-24 years,3,293900,1.02,Armenia1993,,"1,201,313,201",357,Generation X
Armenia,1993,female,5-14 years,0,364200,0,Armenia1993,,"1,201,313,201",357,Millenials
Armenia,1993,male,5-14 years,0,382300,0,Armenia1993,,"1,201,313,201",357,Millenials
Armenia,1994,male,75+ years,7,28200,24.82,Armenia1994,,"1,315,158,670",387,G.I. Generation
Armenia,1994,female,75+ years,5,51700,9.67,Armenia1994,,"1,315,158,670",387,G.I. Generation
Armenia,1994,male,55-74 years,20,235500,8.49,Armenia1994,,"1,315,158,670",387,Silent
Armenia,1994,male,35-54 years,31,382500,8.1,Armenia1994,,"1,315,158,670",387,Boomers
Armenia,1994,female,55-74 years,18,286000,6.29,Armenia1994,,"1,315,158,670",387,Silent
Armenia,1994,male,25-34 years,10,297000,3.37,Armenia1994,,"1,315,158,670",387,Boomers
Armenia,1994,male,15-24 years,6,308300,1.95,Armenia1994,,"1,315,158,670",387,Generation X
Armenia,1994,female,35-54 years,7,437100,1.6,Armenia1994,,"1,315,158,670",387,Boomers
Armenia,1994,female,15-24 years,4,297600,1.34,Armenia1994,,"1,315,158,670",387,Generation X
Armenia,1994,male,5-14 years,2,385400,0.52,Armenia1994,,"1,315,158,670",387,Millenials
Armenia,1994,female,25-34 years,1,326200,0.31,Armenia1994,,"1,315,158,670",387,Boomers
Armenia,1994,female,5-14 years,1,367000,0.27,Armenia1994,,"1,315,158,670",387,Millenials
Armenia,1995,male,55-74 years,29,242300,11.97,Armenia1995,0.605,"1,468,317,350",426,Silent
Armenia,1995,male,35-54 years,32,395200,8.1,Armenia1995,0.605,"1,468,317,350",426,Boomers
Armenia,1995,male,25-34 years,21,289500,7.25,Armenia1995,0.605,"1,468,317,350",426,Generation X
Armenia,1995,male,75+ years,2,28000,7.14,Armenia1995,0.605,"1,468,317,350",426,G.I. Generation
Armenia,1995,female,75+ years,2,51400,3.89,Armenia1995,0.605,"1,468,317,350",426,G.I. Generation
Armenia,1995,female,55-74 years,11,295200,3.73,Armenia1995,0.605,"1,468,317,350",426,Silent
Armenia,1995,female,25-34 years,11,313300,3.51,Armenia1995,0.605,"1,468,317,350",426,Generation X
Armenia,1995,male,15-24 years,10,313600,3.19,Armenia1995,0.605,"1,468,317,350",426,Generation X
Armenia,1995,female,35-54 years,8,453600,1.76,Armenia1995,0.605,"1,468,317,350",426,Boomers
Armenia,1995,female,15-24 years,3,303200,0.99,Armenia1995,0.605,"1,468,317,350",426,Generation X
Armenia,1995,male,5-14 years,1,388200,0.26,Armenia1995,0.605,"1,468,317,350",426,Millenials
Armenia,1995,female,5-14 years,0,369700,0,Armenia1995,0.605,"1,468,317,350",426,Millenials
Armenia,1996,male,75+ years,3,27900,10.75,Armenia1996,,"1,596,968,913",458,G.I. Generation
Armenia,1996,male,55-74 years,18,246200,7.31,Armenia1996,,"1,596,968,913",458,Silent
Armenia,1996,male,35-54 years,24,409800,5.86,Armenia1996,,"1,596,968,913",458,Boomers
Armenia,1996,male,25-34 years,13,284300,4.57,Armenia1996,,"1,596,968,913",458,Generation X
Armenia,1996,female,55-74 years,12,301900,3.97,Armenia1996,,"1,596,968,913",458,Silent
Armenia,1996,female,35-54 years,7,471200,1.49,Armenia1996,,"1,596,968,913",458,Boomers
Armenia,1996,male,15-24 years,4,320000,1.25,Armenia1996,,"1,596,968,913",458,Generation X
Armenia,1996,female,25-34 years,3,301500,1,Armenia1996,,"1,596,968,913",458,Generation X
Armenia,1996,female,15-24 years,1,310200,0.32,Armenia1996,,"1,596,968,913",458,Generation X
Armenia,1996,female,5-14 years,1,371900,0.27,Armenia1996,,"1,596,968,913",458,Millenials
Armenia,1996,male,5-14 years,1,390300,0.26,Armenia1996,,"1,596,968,913",458,Millenials
Armenia,1996,female,75+ years,0,51100,0,Armenia1996,,"1,596,968,913",458,G.I. Generation
Armenia,1997,male,55-74 years,21,246200,8.53,Armenia1997,,"1,639,492,424",465,Silent
Armenia,1997,male,35-54 years,26,426000,6.1,Armenia1997,,"1,639,492,424",465,Boomers
Armenia,1997,female,75+ years,3,51400,5.84,Armenia1997,,"1,639,492,424",465,G.I. Generation
Armenia,1997,male,75+ years,1,28500,3.51,Armenia1997,,"1,639,492,424",465,G.I. Generation
Armenia,1997,male,25-34 years,9,282000,3.19,Armenia1997,,"1,639,492,424",465,Generation X
Armenia,1997,female,55-74 years,8,304400,2.63,Armenia1997,,"1,639,492,424",465,Silent
Armenia,1997,male,15-24 years,4,327300,1.22,Armenia1997,,"1,639,492,424",465,Generation X
Armenia,1997,female,35-54 years,3,489900,0.61,Armenia1997,,"1,639,492,424",465,Boomers
Armenia,1997,female,25-34 years,1,294200,0.34,Armenia1997,,"1,639,492,424",465,Generation X
Armenia,1997,male,5-14 years,1,389500,0.26,Armenia1997,,"1,639,492,424",465,Millenials
Armenia,1997,female,15-24 years,0,316500,0,Armenia1997,,"1,639,492,424",465,Generation X
Armenia,1997,female,5-14 years,0,370800,0,Armenia1997,,"1,639,492,424",465,Millenials
Armenia,1998,male,75+ years,2,29600,6.76,Armenia1998,,"1,893,726,437",532,G.I. Generation
Armenia,1998,male,55-74 years,16,243300,6.58,Armenia1998,,"1,893,726,437",532,Silent
Armenia,1998,male,35-54 years,20,445000,4.49,Armenia1998,,"1,893,726,437",532,Boomers
Armenia,1998,male,25-34 years,6,280200,2.14,Armenia1998,,"1,893,726,437",532,Generation X
Armenia,1998,female,55-74 years,6,302000,1.99,Armenia1998,,"1,893,726,437",532,Silent
Armenia,1998,female,75+ years,1,53100,1.88,Armenia1998,,"1,893,726,437",532,G.I. Generation
Armenia,1998,female,35-54 years,9,509800,1.77,Armenia1998,,"1,893,726,437",532,Boomers
Armenia,1998,male,15-24 years,4,335100,1.19,Armenia1998,,"1,893,726,437",532,Generation X
Armenia,1998,female,25-34 years,1,289300,0.35,Armenia1998,,"1,893,726,437",532,Generation X
Armenia,1998,female,5-14 years,1,364600,0.27,Armenia1998,,"1,893,726,437",532,Millenials
Armenia,1998,female,15-24 years,0,322300,0,Armenia1998,,"1,893,726,437",532,Generation X
Armenia,1998,male,5-14 years,0,383700,0,Armenia1998,,"1,893,726,437",532,Millenials
Armenia,1999,male,55-74 years,15,238100,6.3,Armenia1999,,"1,845,482,181",515,Silent
Armenia,1999,female,75+ years,3,56800,5.28,Armenia1999,,"1,845,482,181",515,G.I. Generation
Armenia,1999,male,35-54 years,22,464300,4.74,Armenia1999,,"1,845,482,181",515,Boomers
Armenia,1999,female,55-74 years,9,296800,3.03,Armenia1999,,"1,845,482,181",515,Silent
Armenia,1999,male,25-34 years,6,279800,2.14,Armenia1999,,"1,845,482,181",515,Generation X
Armenia,1999,male,15-24 years,6,344000,1.74,Armenia1999,,"1,845,482,181",515,Generation X
Armenia,1999,female,35-54 years,4,530700,0.75,Armenia1999,,"1,845,482,181",515,Boomers
Armenia,1999,female,25-34 years,2,284300,0.7,Armenia1999,,"1,845,482,181",515,Generation X
Armenia,1999,female,15-24 years,0,329700,0,Armenia1999,,"1,845,482,181",515,Generation X
Armenia,1999,female,5-14 years,0,352300,0,Armenia1999,,"1,845,482,181",515,Millenials
Armenia,1999,male,5-14 years,0,371600,0,Armenia1999,,"1,845,482,181",515,Millenials
Armenia,1999,male,75+ years,0,32300,0,Armenia1999,,"1,845,482,181",515,G.I. Generation
Armenia,2000,male,75+ years,4,37600,10.64,Armenia2000,0.648,"1,911,563,665",530,G.I. Generation
Armenia,2000,female,75+ years,5,66500,7.52,Armenia2000,0.648,"1,911,563,665",530,G.I. Generation
Armenia,2000,male,55-74 years,14,234300,5.98,Armenia2000,0.648,"1,911,563,665",530,Silent
Armenia,2000,male,35-54 years,18,481100,3.74,Armenia2000,0.648,"1,911,563,665",530,Boomers
Armenia,2000,male,25-34 years,5,283300,1.76,Armenia2000,0.648,"1,911,563,665",530,Generation X
Armenia,2000,male,15-24 years,6,358000,1.68,Armenia2000,0.648,"1,911,563,665",530,Generation X
Armenia,2000,female,25-34 years,4,280400,1.43,Armenia2000,0.648,"1,911,563,665",530,Generation X
Armenia,2000,female,55-74 years,4,292700,1.37,Armenia2000,0.648,"1,911,563,665",530,Silent
Armenia,2000,female,35-54 years,1,555300,0.18,Armenia2000,0.648,"1,911,563,665",530,Boomers
Armenia,2000,female,15-24 years,0,341100,0,Armenia2000,0.648,"1,911,563,665",530,Generation X
Armenia,2000,female,5-14 years,0,328000,0,Armenia2000,0.648,"1,911,563,665",530,Millenials
Armenia,2000,male,5-14 years,0,348200,0,Armenia2000,0.648,"1,911,563,665",530,Millenials
Armenia,2001,male,55-74 years,17,227605,7.47,Armenia2001,,"2,118,467,913",587,Silent
Armenia,2001,male,75+ years,3,40190,7.46,Armenia2001,,"2,118,467,913",587,Silent
Armenia,2001,female,75+ years,4,66283,6.03,Armenia2001,,"2,118,467,913",587,Silent
Armenia,2001,male,35-54 years,19,493922,3.85,Armenia2001,,"2,118,467,913",587,Boomers
Armenia,2001,female,55-74 years,4,289601,1.38,Armenia2001,,"2,118,467,913",587,Silent
Armenia,2001,male,15-24 years,4,361248,1.11,Armenia2001,,"2,118,467,913",587,Millenials
Armenia,2001,male,5-14 years,3,337767,0.89,Armenia2001,,"2,118,467,913",587,Millenials
Armenia,2001,male,25-34 years,2,284346,0.7,Armenia2001,,"2,118,467,913",587,Generation X
Armenia,2001,female,35-54 years,3,563626,0.53,Armenia2001,,"2,118,467,913",587,Boomers
Armenia,2001,female,25-34 years,1,279953,0.36,Armenia2001,,"2,118,467,913",587,Generation X
Armenia,2001,female,15-24 years,0,346468,0,Armenia2001,,"2,118,467,913",587,Millenials
Armenia,2001,female,5-14 years,0,319507,0,Armenia2001,,"2,118,467,913",587,Millenials
Armenia,2002,male,75+ years,3,29067,10.32,Armenia2002,,"2,376,335,048",788,Silent
Armenia,2002,male,55-74 years,19,196525,9.67,Armenia2002,,"2,376,335,048",788,Silent
Armenia,2002,male,25-34 years,12,206403,5.81,Armenia2002,,"2,376,335,048",788,Generation X
Armenia,2002,male,35-54 years,22,418464,5.26,Armenia2002,,"2,376,335,048",788,Boomers
Armenia,2002,female,75+ years,1,58553,1.71,Armenia2002,,"2,376,335,048",788,Silent
Armenia,2002,male,15-24 years,5,293350,1.7,Armenia2002,,"2,376,335,048",788,Millenials
Armenia,2002,female,35-54 years,6,469992,1.28,Armenia2002,,"2,376,335,048",788,Boomers
Armenia,2002,female,55-74 years,3,251856,1.19,Armenia2002,,"2,376,335,048",788,Silent
Armenia,2002,female,25-34 years,1,222943,0.45,Armenia2002,,"2,376,335,048",788,Generation X
Armenia,2002,male,5-14 years,1,294209,0.34,Armenia2002,,"2,376,335,048",788,Millenials
Armenia,2002,female,15-24 years,1,294739,0.34,Armenia2002,,"2,376,335,048",788,Millenials
Armenia,2002,female,5-14 years,0,278743,0,Armenia2002,,"2,376,335,048",788,Millenials
Armenia,2003,male,75+ years,3,32495,9.23,Armenia2003,,"2,807,061,009",928,Silent
Armenia,2003,male,55-74 years,14,194165,7.21,Armenia2003,,"2,807,061,009",928,Silent
Armenia,2003,male,35-54 years,21,423001,4.96,Armenia2003,,"2,807,061,009",928,Boomers
Armenia,2003,female,75+ years,3,62935,4.77,Armenia2003,,"2,807,061,009",928,Silent
Armenia,2003,male,25-34 years,10,210715,4.75,Armenia2003,,"2,807,061,009",928,Generation X
Armenia,2003,female,55-74 years,3,249909,1.2,Armenia2003,,"2,807,061,009",928,Silent
Armenia,2003,female,35-54 years,3,473959,0.63,Armenia2003,,"2,807,061,009",928,Boomers
Armenia,2003,male,5-14 years,1,283952,0.35,Armenia2003,,"2,807,061,009",928,Millenials
Armenia,2003,male,15-24 years,1,300902,0.33,Armenia2003,,"2,807,061,009",928,Millenials
Armenia,2003,female,15-24 years,0,300080,0,Armenia2003,,"2,807,061,009",928,Millenials
Armenia,2003,female,25-34 years,0,225313,0,Armenia2003,,"2,807,061,009",928,Generation X
Armenia,2003,female,5-14 years,0,266940,0,Armenia2003,,"2,807,061,009",928,Millenials
Armenia,2006,male,75+ years,6,48123,12.47,Armenia2006,,"6,384,451,606",2310,Silent
Armenia,2006,male,55-74 years,21,184526,11.38,Armenia2006,,"6,384,451,606",2310,Silent
Armenia,2006,male,35-54 years,17,367346,4.63,Armenia2006,,"6,384,451,606",2310,Boomers
Armenia,2006,male,15-24 years,10,276127,3.62,Armenia2006,,"6,384,451,606",2310,Millenials
Armenia,2006,female,55-74 years,8,238745,3.35,Armenia2006,,"6,384,451,606",2310,Silent
Armenia,2006,male,25-34 years,6,188382,3.19,Armenia2006,,"6,384,451,606",2310,Generation X
Armenia,2006,female,75+ years,2,78684,2.54,Armenia2006,,"6,384,451,606",2310,Silent
Armenia,2006,female,35-54 years,5,450477,1.11,Armenia2006,,"6,384,451,606",2310,Boomers
Armenia,2006,female,25-34 years,2,215884,0.93,Armenia2006,,"6,384,451,606",2310,Generation X
Armenia,2006,male,5-14 years,1,221941,0.45,Armenia2006,,"6,384,451,606",2310,Millenials
Armenia,2006,female,15-24 years,0,290966,0,Armenia2006,,"6,384,451,606",2310,Millenials
Armenia,2006,female,5-14 years,0,203195,0,Armenia2006,,"6,384,451,606",2310,Millenials
Armenia,2007,male,75+ years,7,49296,14.2,Armenia2007,,"9,206,301,700",3366,Silent
Armenia,2007,male,55-74 years,13,185290,7.02,Armenia2007,,"9,206,301,700",3366,Silent
Armenia,2007,male,35-54 years,19,362189,5.25,Armenia2007,,"9,206,301,700",3366,Boomers
Armenia,2007,female,55-74 years,8,240998,3.32,Armenia2007,,"9,206,301,700",3366,Silent
Armenia,2007,male,15-24 years,7,272188,2.57,Armenia2007,,"9,206,301,700",3366,Millenials
Armenia,2007,male,25-34 years,4,191561,2.09,Armenia2007,,"9,206,301,700",3366,Generation X
Armenia,2007,female,35-54 years,8,444817,1.8,Armenia2007,,"9,206,301,700",3366,Boomers
Armenia,2007,female,75+ years,1,79210,1.26,Armenia2007,,"9,206,301,700",3366,Silent
Armenia,2007,female,15-24 years,3,288510,1.04,Armenia2007,,"9,206,301,700",3366,Millenials
Armenia,2007,male,5-14 years,1,210620,0.47,Armenia2007,,"9,206,301,700",3366,Generation Z
Armenia,2007,female,25-34 years,0,220144,0,Armenia2007,,"9,206,301,700",3366,Generation X
Armenia,2007,female,5-14 years,0,190490,0,Armenia2007,,"9,206,301,700",3366,Generation Z
Armenia,2008,male,75+ years,7,46886,14.93,Armenia2008,,"11,662,040,714",3829,Silent
Armenia,2008,male,55-74 years,18,198978,9.05,Armenia2008,,"11,662,040,714",3829,Silent
Armenia,2008,male,35-54 years,11,429649,2.56,Armenia2008,,"11,662,040,714",3829,Boomers
Armenia,2008,female,35-54 years,10,477501,2.09,Armenia2008,,"11,662,040,714",3829,Boomers
Armenia,2008,female,55-74 years,5,260264,1.92,Armenia2008,,"11,662,040,714",3829,Silent
Armenia,2008,male,25-34 years,4,250190,1.6,Armenia2008,,"11,662,040,714",3829,Generation X
Armenia,2008,male,15-24 years,3,317794,0.94,Armenia2008,,"11,662,040,714",3829,Millenials
Armenia,2008,female,25-34 years,2,254728,0.79,Armenia2008,,"11,662,040,714",3829,Generation X
Armenia,2008,female,5-14 years,1,198065,0.5,Armenia2008,,"11,662,040,714",3829,Generation Z
Armenia,2008,male,5-14 years,1,220896,0.45,Armenia2008,,"11,662,040,714",3829,Generation Z
Armenia,2008,female,15-24 years,1,309009,0.32,Armenia2008,,"11,662,040,714",3829,Millenials
Armenia,2008,female,75+ years,0,81431,0,Armenia2008,,"11,662,040,714",3829,Silent
Armenia,2009,male,75+ years,8,50759,15.76,Armenia2009,,"8,647,936,748",3215,Silent
Armenia,2009,male,55-74 years,11,189632,5.8,Armenia2009,,"8,647,936,748",3215,Silent
Armenia,2009,male,35-54 years,17,351694,4.83,Armenia2009,,"8,647,936,748",3215,Boomers
Armenia,2009,male,15-24 years,5,259772,1.92,Armenia2009,,"8,647,936,748",3215,Millenials
Armenia,2009,female,75+ years,1,79728,1.25,Armenia2009,,"8,647,936,748",3215,Silent
Armenia,2009,female,55-74 years,3,248767,1.21,Armenia2009,,"8,647,936,748",3215,Silent
Armenia,2009,male,25-34 years,2,198646,1.01,Armenia2009,,"8,647,936,748",3215,Generation X
Armenia,2009,female,25-34 years,2,230582,0.87,Armenia2009,,"8,647,936,748",3215,Generation X
Armenia,2009,female,35-54 years,3,433390,0.69,Armenia2009,,"8,647,936,748",3215,Boomers
Armenia,2009,female,15-24 years,1,278535,0.36,Armenia2009,,"8,647,936,748",3215,Millenials
Armenia,2009,female,5-14 years,0,172560,0,Armenia2009,,"8,647,936,748",3215,Generation Z
Armenia,2009,male,5-14 years,0,195630,0,Armenia2009,,"8,647,936,748",3215,Generation Z
Armenia,2010,male,75+ years,6,52333,11.47,Armenia2010,0.721,"9,260,284,938",3460,Silent
Armenia,2010,male,55-74 years,13,193100,6.73,Armenia2010,0.721,"9,260,284,938",3460,Silent
Armenia,2010,male,25-34 years,10,202936,4.93,Armenia2010,0.721,"9,260,284,938",3460,Generation X
Armenia,2010,male,35-54 years,15,346739,4.33,Armenia2010,0.721,"9,260,284,938",3460,Generation X
Armenia,2010,male,15-24 years,8,252152,3.17,Armenia2010,0.721,"9,260,284,938",3460,Millenials
Armenia,2010,female,55-74 years,7,253182,2.76,Armenia2010,0.721,"9,260,284,938",3460,Silent
Armenia,2010,female,75+ years,2,81770,2.45,Armenia2010,0.721,"9,260,284,938",3460,Silent
Armenia,2010,female,5-14 years,2,167142,1.2,Armenia2010,0.721,"9,260,284,938",3460,Generation Z
Armenia,2010,female,35-54 years,5,427571,1.17,Armenia2010,0.721,"9,260,284,938",3460,Generation X
Armenia,2010,male,5-14 years,2,191722,1.04,Armenia2010,0.721,"9,260,284,938",3460,Generation Z
Armenia,2010,female,15-24 years,2,270727,0.74,Armenia2010,0.721,"9,260,284,938",3460,Millenials
Armenia,2010,female,25-34 years,1,236851,0.42,Armenia2010,0.721,"9,260,284,938",3460,Generation X
Armenia,2011,female,75+ years,6,86643,6.92,Armenia2011,0.723,"10,142,111,334",3798,Silent
Armenia,2011,male,35-54 years,23,341199,6.74,Armenia2011,0.723,"10,142,111,334",3798,Generation X
Armenia,2011,male,55-74 years,11,194982,5.64,Armenia2011,0.723,"10,142,111,334",3798,Boomers
Armenia,2011,male,25-34 years,8,209914,3.81,Armenia2011,0.723,"10,142,111,334",3798,Millenials
Armenia,2011,male,75+ years,2,55565,3.6,Armenia2011,0.723,"10,142,111,334",3798,Silent
Armenia,2011,male,15-24 years,7,245227,2.85,Armenia2011,0.723,"10,142,111,334",3798,Millenials
Armenia,2011,female,15-24 years,4,259823,1.54,Armenia2011,0.723,"10,142,111,334",3798,Millenials
Armenia,2011,female,55-74 years,3,256541,1.17,Armenia2011,0.723,"10,142,111,334",3798,Boomers
Armenia,2011,female,35-54 years,3,422179,0.71,Armenia2011,0.723,"10,142,111,334",3798,Generation X
Armenia,2011,female,25-34 years,0,244912,0,Armenia2011,0.723,"10,142,111,334",3798,Millenials
Armenia,2011,female,5-14 years,0,164004,0,Armenia2011,0.723,"10,142,111,334",3798,Generation Z
Armenia,2011,male,5-14 years,0,189377,0,Armenia2011,0.723,"10,142,111,334",3798,Generation Z
Armenia,2012,male,75+ years,5,56598,8.83,Armenia2012,0.728,"10,619,320,049",3773,Silent
Armenia,2012,male,35-54 years,26,376743,6.9,Armenia2012,0.728,"10,619,320,049",3773,Generation X
Armenia,2012,male,55-74 years,11,212482,5.18,Armenia2012,0.728,"10,619,320,049",3773,Boomers
Armenia,2012,male,25-34 years,11,245443,4.48,Armenia2012,0.728,"10,619,320,049",3773,Millenials
Armenia,2012,female,75+ years,3,91237,3.29,Armenia2012,0.728,"10,619,320,049",3773,Silent
Armenia,2012,male,15-24 years,5,255119,1.96,Armenia2012,0.728,"10,619,320,049",3773,Millenials
